k,n,idx,len,parity,logt,logtlo,logthi,marglo,marghi,marg,dstar,logh11,logh22,pqnext,pqat
22.4,4,38,68,0,4.804912,0.489275,4.807540,2.157818,0.001314,0.001314,27.6926,23.50394,0.86643,3,10
23.0,4,39,73,1,4.804912,2.649055,8.316661,1.077928,1.755875,1.077928,24.7787,24.02380,0.86643,3,2
23.9,4,40,74,0,4.804912,4.719043,5.651168,0.042934,0.423128,0.042934,26.1784,24.54366,0.86643,1,2
22.4,5,40,79,0,7.392337,4.872535,11.962572,1.259901,2.285118,1.259901,30.9789,22.96508,0.83178,5,43
23.0,5,44,94,0,7.392337,6.561191,10.632009,0.415573,1.619836,0.415573,31.4606,23.38097,0.83178,2,1
23.9,5,42,93,0,7.392337,0.098791,10.955945,3.646773,1.781804,1.781804,30.8284,23.93548,0.83178,13,1
22.4,6,56,112,0,8.593364,7.911811,10.418372,0.340777,0.912504,0.340777,37.8154,23.49466,0.57762,2,6
23.0,6,49,102,1,8.593364,7.844096,12.551835,0.374634,1.979236,0.374634,37.7742,23.95676,0.57762,2,2
23.9,6,55,117,1,8.593364,7.731488,10.759744,0.430938,1.083190,0.430938,37.7134,24.53438,0.57762,2,4
22.4,7,69,147,1,11.180626,9.221378,16.983889,0.979624,2.901631,0.979624,43.6257,24.57783,0.49511,5,1
23.0,7,69,143,1,11.180626,7.800004,12.452305,1.690311,0.635839,0.635839,43.8134,25.07294,0.49511,3,44
23.9,7,60,140,0,11.180626,4.141123,36.081143,3.519752,12.450258,3.519752,43.0702,25.66706,0.49511,2867,6
22.4,8,74,130,0,13.767852,13.535153,16.266155,0.116349,1.249152,0.116349,50.8200,25.27479,0.51986,1,2
23.0,8,85,151,1,13.767852,12.739961,20.693678,0.513945,3.462913,0.513945,50.1749,25.70800,0.51986,6,2
23.9,8,86,164,0,13.767852,7.241371,14.492160,3.263240,0.362154,0.362154,50.3269,26.31451,0.51986,5,1
22.4,9,82,169,0,16.355052,14.967033,17.128295,0.694010,0.386621,0.386621,56.5677,25.14892,0.53911,1,1
23.0,9,95,176,1,16.355052,15.894523,22.628477,0.230264,3.136713,0.230264,56.7927,25.61102,0.53911,5,3
23.9,9,104,197,0,16.355052,13.440812,17.163809,1.457120,0.404378,0.404378,56.5482,26.22715,0.53911,1,1
22.4,10,92,189,0,18.942235,18.291693,23.580397,0.325271,2.319081,0.325271,62.9120,24.80399,0.72499,3,1
23.0,10,102,203,0,18.942235,10.964542,20.816251,3.988847,0.937008,0.937008,62.4525,25.21987,0.72499,10,1
23.9,10,103,199,1,18.942235,18.875712,24.332557,0.033261,2.695161,0.033261,63.9023,25.84371,0.72499,3,6
22.4,11,99,213,1,20.143111,12.844835,28.959502,3.649138,4.408196,3.649138,68.1314,24.98541,0.31507,53,5
23.0,11,106,219,0,20.143111,16.085286,21.054296,2.028913,0.455592,0.455592,69.0350,25.42651,0.31507,2,1
23.9,11,112,222,0,20.143111,2.223244,25.599008,8.959933,2.727948,2.727948,68.2577,25.99363,0.31507,315,1
22.4,12,135,245,1,22.730272,20.906932,31.120984,0.911670,4.195356,0.911670,75.0031,25.48723,0.59194,12,2
23.0,12,124,233,0,22.730272,22.160559,27.063661,0.284856,2.166694,0.284856,75.5083,25.94933,0.59194,3,2
23.9,12,127,247,1,22.730272,21.439454,25.984884,0.645409,1.627306,0.645409,75.1531,26.52695,0.59194,2,1
22.4,13,131,252,1,25.317425,9.674447,29.836348,7.821489,2.259461,2.259461,80.8784,25.20836,0.37323,148,1
23.0,13,136,275,0,25.317425,22.948074,35.361527,1.184676,5.022051,1.184676,81.1588,25.63491,0.37323,20,1
23.9,13,131,260,1,25.317425,11.101715,26.720844,7.107855,0.701710,0.701710,81.3862,26.22142,0.37323,45,1
22.4,14,170,308,0,27.904573,23.842355,41.508725,2.031109,6.802076,2.031109,87.1941,26.34980,0.29706,78,1
23.0,14,160,290,0,27.904573,23.854059,30.430472,2.025257,1.262950,1.262950,87.4004,26.79539,0.29706,4,2
23.9,14,157,284,1,27.904573,27.484205,29.996900,0.210184,1.046164,0.210184,88.1792,27.38952,0.29706,2,8
22.4,15,160,310,0,30.491716,23.848289,30.690139,3.321713,0.099212,0.099212,94.7747,26.16204,0.27726,5,2
23.0,15,143,287,1,30.491716,20.662498,43.863245,4.914609,6.685764,4.914609,93.0798,26.57792,0.27726,328,1
23.9,15,174,323,0,30.491716,20.799479,34.851144,4.846119,2.179714,2.179714,93.4329,27.17865,0.27726,31,2
22.4,16,163,324,1,33.078855,32.843832,38.137748,0.117511,2.529447,0.117511,100.9707,25.49296,0.46356,2,1
23.0,16,165,333,1,33.078855,19.469370,45.905342,6.804743,6.413243,6.413243,99.2337,25.92618,0.46356,695,2
23.9,16,165,325,1,33.078855,30.966282,38.037517,1.056287,2.479331,1.056287,100.0170,26.53268,0.46356,5,2
22.4,17,178,335,0,35.665991,32.583501,39.690701,1.541245,2.012355,1.541245,106.1224,25.66740,0.32619,4,1
23.0,17,162,332,0,35.665991,23.361703,37.042545,6.152144,0.688277,0.688277,106.4725,26.11591,0.32619,28,1
23.9,17,179,339,1,35.665991,26.674589,38.670123,4.495701,1.502066,1.502066,106.1336,26.72751,0.32619,18,1
22.4,18,192,366,0,38.253125,34.620908,42.578057,1.816108,2.162466,1.816108,112.3207,26.11302,0.30807,7,3
23.0,18,198,376,0,38.253125,37.018216,41.738548,0.617455,1.742712,0.617455,112.7892,26.53661,0.30807,2,1
23.9,18,183,370,1,38.253125,37.186554,45.889290,0.533285,3.818082,0.533285,112.8529,27.15274,0.30807,7,2
22.4,19,191,381,1,40.840256,38.660309,41.062475,1.089974,0.111110,0.111110,119.8036,26.15926,0.60470,2,54
23.0,19,211,405,1,40.840256,31.811853,41.737308,4.514202,0.448526,0.448526,119.1976,26.59704,0.60470,10,1
23.9,19,201,414,1,40.840256,33.919725,61.245223,3.460265,10.202483,3.460265,118.3103,27.21722,0.60470,892,1
22.4,20,203,373,1,43.427386,41.005035,53.271354,1.211176,4.921984,1.211176,125.0357,26.29476,0.27726,20,3
23.0,20,222,413,0,43.427386,39.904614,49.592022,1.761386,3.082318,1.761386,124.8731,26.71065,0.27726,9,1
23.9,20,224,417,0,43.427386,38.511740,43.454510,2.457823,0.013562,0.013562,126.9866,27.33448,0.27726,3,13
22.4,21,213,403,1,46.014514,40.305058,48.598860,2.854728,1.292173,1.292173,131.2771,26.01841,0.29706,7,34
23.0,21,235,447,1,46.014514,44.164117,49.680929,0.925198,1.833208,0.925198,131.4222,26.44750,0.29706,3,5
23.9,21,225,440,1,46.014514,42.898194,46.245555,1.558160,0.115520,0.115520,132.3258,27.04163,0.29706,2,3
22.4,22,223,452,1,47.215346,43.800505,56.587247,1.707421,4.685950,1.707421,137.4257,26.63303,0.18904,23,4
23.0,22,247,452,1,47.215346,38.937366,47.583140,4.138990,0.183897,0.183897,138.3934,27.07412,0.18904,7,2
